player_id,full_name,current_rank,total_prize,country
236825,"Rocens, Martins",1858,4498,Latvia
197516,"Eubanks, Christopher",34,2311357,USA
197516,"Eubanks, Christopher",34,2311357,USA
199408,"Jorge, Francisca",199,128973,Portugal
100097,"Moroni, Gian Marco",645,296139,Italy
351300,"Pawelski, Martyn",516,22111,Poland
267576,"Bouquier, Arthur",612,48658,France
277187,"Abbagnato, Anastasia",526,20183,Italy
64315,"Kuwata, Hiroko",532,297974,Japan
37785,"Sousa, Joao",283,6940979,Portugal
125006,"Borges, Nuno",56,1200172,Portugal
348712,"Radivojevic, Lola",331,47982,Serbia
225273,"Rodesch, Chris",653,17233,Luxembourg
201885,"Knaff, Alex",504,39331,Luxembourg
130624,"Gasanova, Anastasia",473,345803,Russia
92442,"Fett, Jana",182,653584,Croatia
399603,"Romano, Filippo",1062,8183,Italy
75281,"Peterson, Rebecca",202,2531333,Sweden
275105,"Bouzas Maneiro, Jessica",124,307699,Spain
94747,"Hoang, Antoine",506,928938,France
275530,"Jacquemot, Elsa",162,557589,France
230344,"Oberleitner, Neil",586,71209,Austria
111879,"Fung, Stacey",222,106528,Canada
97977,"Hong, Seong Chan",213,216912,South Korea
97647,"Kwon, Soonwoo",865,2241301,South Korea
297368,"Montgomery, Robin",193,438097,USA
168526,"Appleton, Emily",407,125333,United Kingdom
51315,"Anderson, Robin",347,506893,USA
248326,"Baptiste, Hailey",106,751678,USA
241718,"Erel, Yanki",336,67890,Turkey
87834,"Hon, Priscilla",170,1063361,Australia
15894,"Mannarino, Adrian",19,10015331,France
335102,"Van Assche, Luca",72,1009810,France
96859,"Lock, Benjamin",355,197725,Zimbabwe
155860,"Lock, Courtney John",1487,33140,Zimbabwe
406665,"Saito, Sara",244,32142,Japan
53183,"Ilkel, Cem",318,611972,Turkey
221362,"Monnet, Carole",192,344219,France
293868,"Kudermetova, Polina",158,219618,Russia
338890,"Merida Aguilar, Daniel",401,44270,Spain
202572,"Gengel, Marek",577,151141,Czech Republic
179262,"Liaonenka, Aliaksandr",777,26197,Belarus
135786,"Benchetrit, Elliot",626,473165,Morocco
323244,"Dlimi, Yassine",614,12181,Morocco
52244,"Balaji N., Sriram",1303,310693,India
58877,"Ramanathan, Ramkumar",407,1017460,India
258324,"Purtseladze, Saba",458,48039,Georgia
228739,"Tkemaladze, Zura",709,56015,Georgia
